epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.814981,0.79999,0.71191,1.37931,0.94708,0.98343,0.995,0.85838,0.71411,0.4215,1.37278,0,0,0
2,1.04121,0.94284,0.61137,1.29648,0.96058,0.96682,0.995,0.85077,0.71454,0.42615,1.37202,5.20793e-06,5.20793e-06,5.20793e-06
3,1.38451,0.99569,0.66175,1.4618,0.97637,0.95115,0.995,0.85077,0.71179,0.43874,1.37129,1.03117e-05,1.03117e-05,1.03117e-05
4,1.75336,1.04553,1.18079,1.32926,0.97637,0.94901,0.995,0.8509,0.7149,0.43667,1.37147,1.53113e-05,1.53113e-05,1.53113e-05
5,2.01618,0.78408,0.59931,1.50713,0.93995,0.91667,0.97833,0.82743,0.72044,0.43891,1.37307,2.02068e-05,2.02068e-05,2.02068e-05
6,2.29032,0.9192,0.59474,1.14297,0.93382,0.91667,0.97833,0.82754,0.718,0.44965,1.36775,2.49982e-05,2.49982e-05,2.49982e-05
7,2.6457,0.83696,0.68842,1.47118,0.9206,0.91667,0.97833,0.82754,0.71738,0.46,1.36366,2.96853e-05,2.96853e-05,2.96853e-05
8,2.90779,0.82237,0.52753,1.33093,0.92028,0.91667,0.97833,0.82743,0.7158,0.46048,1.36089,3.42684e-05,3.42684e-05,3.42684e-05
9,3.19628,0.6059,0.88863,1.12687,0.90975,0.91667,0.97833,0.82767,0.71001,0.47228,1.36327,3.87473e-05,3.87473e-05,3.87473e-05
10,3.47609,0.72103,0.66867,1.37063,0.90906,0.91667,0.97833,0.82767,0.71036,0.47807,1.36019,4.3122e-05,4.3122e-05,4.3122e-05
11,3.77461,0.78492,0.58506,1.54139,0.89347,0.91667,0.97833,0.82767,0.70288,0.48852,1.35795,4.73926e-05,4.73926e-05,4.73926e-05
12,4.08499,1.13126,1.03784,1.36693,0.89268,0.91667,0.97833,0.84025,0.69534,0.4964,1.35479,5.1559e-05,5.1559e-05,5.1559e-05
13,4.4611,0.95922,0.59298,1.38148,0.8957,0.91667,0.97833,0.84025,0.69622,0.50549,1.35764,5.56213e-05,5.56213e-05,5.56213e-05
14,4.75447,0.85167,0.61975,1.23896,0.93382,0.96882,0.995,0.84729,0.69522,0.51639,1.35779,5.95795e-05,5.95795e-05,5.95795e-05
15,5.045,0.93075,0.62462,1.09696,0.928,0.97094,0.995,0.8391,0.69622,0.52763,1.35734,6.34335e-05,6.34335e-05,6.34335e-05
16,5.32491,0.99824,0.62905,1.21916,0.91887,0.97588,0.995,0.8472,0.69419,0.53439,1.35379,6.71834e-05,6.71834e-05,6.71834e-05
17,5.60381,1.12515,0.69234,1.17541,0.91345,0.97817,0.995,0.84711,0.69543,0.5472,1.3554,7.08291e-05,7.08291e-05,7.08291e-05
